2
C4 M12
G3 N1
C8 G9
G9 F9
G12 B2
G3 A5
M12 G1
G3 H1
B2 G6
G9 H4
L10 G10
G9 H4
L10 N7
G3 I9
L10 L12
G3 N4
C8 C3
G3 C11
C8 N11
G3 G12
C8 C4
G9 H1
L10 I9
G9 M1
L10 E2
G3 B9
L10 D6
G9 L6
L10 I5
G9 H10
C8 N2
G3 F1
C8 D3
G9 A11
L10 N9
G9 D4
C8 I10
G9 M4
C8 B7
G3 H9
L10 E11
G3 D5
L10 C2
G3 F1
L10 G9
G3 I7
C8 A9
G3 D6
L10 N1
G3 C1
L10 M8
G3 N4
C8 M2
G9 N10
L10 L10
G3 F7
L10 D4
G9 I3
L10 L9
G3 A5
C8 L12
G9 E11
G1 M12
G3 N5
G6 B7
G3 F7
M12 D9
G3 B7
D9 I7
G9 H3
B7 H11
G9 A5
C8 F11
G3 B3
C8 B1
G9 F10
C8 E1
G9 I6
L10 H8
G3 I8
H11 I1
G3 G11
L10 D7
G9 B7
L10 M11
G3 D12
I1 F4
G3 I7
C8 M7
G3 C1
C8 C8
G9 D9
C8 G10
G9 E1
F4 F10
G3 B3
C8 H12
G9 G10
L10 A8
G9 D4
C8 F8
G3 L10
C8 B1
G9 B1
L10 A12
G3 F5
L10 F6
G9 L4
C8 G2
G9 A4
L10 E8
G3 C9
F10 G11
G9 D8
C8 H5
G9 M3
C8 F10
G9 L7
G11 I3
G3 D9
L10 I4
G3 F7
L10 D12
G3 L5
C8 B11
G3 I9
C8 E10
G3 M3
C8 M12
G9 L12
L10 M7
G9 I8
I3 M1
G3 B9
L10 L3
G3 F3
M1 L11
G3 M7
C8 F12
G9 N9
L11 B5
G3 A9
C8 H2
G9 F1
C8 B3
G9 G4
L10 G9
G3 F3
C8 M8
G9 B12
L10 D1
G3 A3
L10 I7
G9 N4
C8 D11
G9 B11
C8 M3
G9 H5
L10 N6
G3 F3
L10 H4
G9 E2
B5 C7
G9 I4
L10 F8
G9 I11
C8 G5
G3 E9
C7 H11
G9 N4
L10 B10
G3 A10
L10 C5
G3 M11
L10 A5
G3 I8
C8 G1
G9 C6
L10 I9
G9 M4
C8 D9
G9 D7
H11 M11
G9 I9
L10 N7
G3 N4
L10 N7
G3 E12
C8 H12
G9 F12
L10 A11
G9 F11
M11 C3
G3 M12
L10 M11
G3 N4
C8 F9
G3 D5
C3 B12
G9 F7
C8 E3
G3 N9
C8 E7
G3 L5
L10 E4
G9 M1
L10 B12
G9 E2
B12 F4
G3 G11
C8 D12
G9 G6
L10 M3
G3 C11
C8 E3
G9 E8
F4 L3
G9 I3
L10 F11
G9 H7
C8 F6
G9 L1
L10 M1
G9 D4
C8 H5
G3 M12
C8 M5
G9 G7
L10 A9
G3 C11
C8 F8
G9 F3
L10 B12
G9 F10
C8 N6
G3 A1
L10 D6
G3 L9
L10 I6
G3 C8
L10 H6
G3 L1
C8 C8
G9 C10
L10 I6
G9 H12
C8 D6
G9 A9
C8 M11
G9 N1
L10 H9
G3 G9
C8 G9
G9 H11
L10 E9
G3 M7
C8 L9
G3 B10
L10 F6
G3 H5
L10 F8
G3 C11
L10 E9
G3 C3
L10 M3
G3 E10
C8 E6
G3 A10
L10 G8
G3 H1
C8 F3
G3 F11
L10 I5
G3 D3
L10 M6
G3 N2
L10 G6
G3 F8
L10 I7
G3 I4
C8 E12
G3 E11
C8 I9
G3 A6
L10 E11
G3 M6
C8 D2
G3 H3
L10 N12
G3 H2
L10 H4
G3 G12
L10 G12
G3 B11
L10 M9
G3 E10
C8 B4
G3 F4
C8 C9
G3 D1
L10 G2
G3 F10
C8 A6
G3 G3
C8 L2
G3 L10
L10 L5
G3 G11
C8 D1
G3 M9
C8 A12
G3 E2
C8 B2
G3 M4
C8 M4
G3 G5
C8 H10
G3 B4
C8 N4
G3 G9
C8 C6
G3 G2
L10 G2
G3 C4
C8 F7
G3 C7
C8 M9
G3 L10
C8 C2
G3 C10
L10 M10
G3 B7
C8 D3
G3 N10
C8 N11
G3 C5
L10 H7
G3 M6
C8 A9
G3 B12
L10 D1
G3 M3
L10 H5
G3 B8
C8 B5
G3 L9
C8 C6
G3 G8
C8 E9
G3 L12
L10 D5
G3 N1
L10 A4
G3 I5
C8 E9
G3 N1
L10 I3
G3 F3
C8 G4
G3 C1
C8 G4
G3 G3
L10 I6
G3 L12
L10 G1
G3 G9
C8 H9
G3 D5
L10 B3
G3 M4
C8 I9
G3 B3
C8 N12
G3 A8
C8 F1
G3 F6
C8 D2
G3 D1
C8 E10
G3 G1
C8 H4
G3 L11
L10 E6
G3 H7
L10 N12
G3 F4
L10 G8
G3 B11
L10 D6
G3 A8
L10 E7
G3 A4
C8 D4
G3 N12
L10 A4
G3 B11
C8 C7
G3 G1
C8 D12
G3 M2
L10 N2
G3 M7
C8 M2
G3 H6
C8 M8
G3 I10
C8 G1
G3 M8
C8 N11
G3 F8
C8 D12
G3 I1
L10 M6
G3 M3
C8 G2
G3 A7
C8 H7
G3 M9
C8 A4
G3 E5
L10 I10
G3 A9
L10 B9
G3 L11
L10 E1
G3 B12
L10 F5
G3 E2
C8 N9
G3 C8
L10 L2
G3 H6
C8 G11
G3 C4
C8 L3
G3 L6
C8 E11
G3 D8
L10 F8
G3 C6
L10 F1
G3 C2
L10 B6
G3 G4
L10 H9
G3 I11
L10 L7
G3 H8
L10 D6
G3 C11
L10 B9
G3 E1
L10 F5
G3 E11
L10 F12
G3 N1
L10 C7
G3 L3
L10 L5
G3 C11
L10 B3
G3 N5
L10 D12
G3 D7
L10 E4
G3 F1
L10 E1
G3 B6
L10 M4
G3 F11
L10 D3
G3 H7
L10 C1
G3 I8
L10 I9
G3 M6
L10 F12
G3 G4
L10 L9
G3 F7
L10 H3
G3 M10
L10 H6
G3 F9
L10 F6
G3 G4
L10 H1
G3 B8
L10 D6
G3 D1
L10 M3
G3 I3
L10 L5
G3 A5
L10 M9
G3 E10
L10 I12
G3 A12
L10 C3
G3 G12
L10 D10
G3 F6
L10 A9
G3 I9
L10 B5
G3 H5
L10 B12
G3 C6
L10 F7
G3 A12
L10 B9
G3 A8
L10 H8
G3 M3
L10 I4
G3 H2
L10 L9
G3 M2
L10 L2
G3 D6
L10 M10
G3 M11
L10 B3
G3 I10
L10 C11
G3 G7
L10 C10
G3 I3
L10 N3
G3 H5
L10 A6
G3 H10
